"id","image","groups","path","dimension","active","update"
352,"idly37.jpg",6,"/assets/images/foodish/idly/idly37.jpg",,1,"2022-02-02"
303,"dosa7.jpg",5,"/assets/images/foodish/dosa/dosa7.jpg",,1,"2022-02-02"
556,"rice3.jpg",9,"/assets/images/foodish/rice/rice3.jpg",,1,"2022-02-02"
557,"rice30.jpg",9,"/assets/images/foodish/rice/rice30.jpg",,1,"2022-02-02"
541,"rice16.jpg",9,"/assets/images/foodish/rice/rice16.jpg",,1,"2022-02-02"
542,"rice17.jpg",9,"/assets/images/foodish/rice/rice17.jpg",,1,"2022-02-02"
543,"rice18.jpg",9,"/assets/images/foodish/rice/rice18.jpg",,1,"2022-02-02"
544,"rice19.jpg",9,"/assets/images/foodish/rice/rice19.jpg",,1,"2022-02-02"
563,"rice4.jpg",9,"/assets/images/foodish/rice/rice4.jpg",,1,"2022-02-02"
564,"rice5.jpg",9,"/assets/images/foodish/rice/rice5.jpg",,1,"2022-02-02"
591,"samosa8.jpg",10,"/assets/images/foodish/samosa/samosa8.jpg",,1,"2022-02-02"
592,"samosa9.jpg",10,"/assets/images/foodish/samosa/samosa9.jpg",,1,"2022-02-02"
175,"butter-chicken1.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken1.jpg",,1,"2022-02-02"
176,"butter-chicken10.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken10.jpg",,1,"2022-02-02"
177,"butter-chicken11.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken11.jpg",,1,"2022-02-02"
178,"butter-chicken12.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken12.jpg",,1,"2022-02-02"
179,"butter-chicken13.jpg",3,"/assets/images/foodish/butter-chicken/butter-chicken13.jpg",,1,"2022-02-02"
199,"dessert1.jpg",4,"/assets/images/foodish/dessert/dessert1.jpg",,1,"2022-02-02"
200,"dessert10.jpg",4,"/assets/images/foodish/dessert/dessert10.jpg",,1,"2022-02-02"
201,"dessert11.jpg",4,"/assets/images/foodish/dessert/dessert11.jpg",,1,"2022-02-02"
202,"dessert12.jpg",4,"/assets/images/foodish/dessert/dessert12.jpg",,1,"2022-02-02"
203,"dessert13.jpg",4,"/assets/images/foodish/dessert/dessert13.jpg",,1,"2022-02-02"
204,"dessert14.jpg",4,"/assets/images/foodish/dessert/dessert14.jpg",,1,"2022-02-02"
205,"dessert15.jpg",4,"/assets/images/foodish/dessert/dessert15.jpg",,1,"2022-02-02"
206,"dessert16.jpg",4,"/assets/images/foodish/dessert/dessert16.jpg",,1,"2022-02-02"
207,"dessert17.jpg",4,"/assets/images/foodish/dessert/dessert17.jpg",,1,"2022-02-02"
304,"dosa70.jpg",5,"/assets/images/foodish/dosa/dosa70.jpg",,1,"2022-02-02"
305,"dosa71.jpg",5,"/assets/images/foodish/dosa/dosa71.jpg",,1,"2022-02-02"
306,"dosa72.jpg",5,"/assets/images/foodish/dosa/dosa72.jpg",,1,"2022-02-02"
307,"dosa73.jpg",5,"/assets/images/foodish/dosa/dosa73.jpg",,1,"2022-02-02"
308,"dosa74.jpg",5,"/assets/images/foodish/dosa/dosa74.jpg",,1,"2022-02-02"
309,"dosa75.jpg",5,"/assets/images/foodish/dosa/dosa75.jpg",,1,"2022-02-02"
310,"dosa76.jpg",5,"/assets/images/foodish/dosa/dosa76.jpg",,1,"2022-02-02"
311,"dosa77.jpg",5,"/assets/images/foodish/dosa/dosa77.jpg",,1,"2022-02-02"
313,"dosa79.jpg",5,"/assets/images/foodish/dosa/dosa79.jpg",,1,"2022-02-02"
452,"pizza23.jpg",8,"/assets/images/foodish/pizza/pizza23.jpg",,1,"2022-02-02"
459,"pizza3.jpg",8,"/assets/images/foodish/pizza/pizza3.jpg",,1,"2022-02-02"
460,"pizza30.jpg",8,"/assets/images/foodish/pizza/pizza30.jpg",,1,"2022-02-02"
461,"pizza31.jpg",8,"/assets/images/foodish/pizza/pizza31.jpg",,1,"2022-02-02"
571,"samosa1.jpg",10,"/assets/images/foodish/samosa/samosa1.jpg",,1,"2022-02-02"
